schema	inventory-v1
file	nvim/.config/nvim/lua/plugins/all-themes.lua	file	100644	1005	sha256:79be1df6903f475fd915e04fabbc4a10536f6b7603bc27df3f3d11a2cd1dae15	nvim	shared	include	approved	clear
file	nvim/.config/nvim/lua/plugins/custom-plugins.lua	file	100644	1223	sha256:7fdb911db6aed148cf4d59a87f8feda5737e95d76e066bc92085e9dc4120faa2	nvim	shared	include	approved	clear
file	nvim/.config/nvim/lua/plugins/disable-news-alert.lua	file	100644	100	sha256:5e27ebfe77359f9a42a478fb01671962801fbba6846cc72c19c7313ccd8333be	nvim	shared	include	approved	clear
file	nvim/.config/nvim/lua/plugins/example.lua	file	100644	5295	sha256:63cab8b37a319da640b073b6d654b11952776eac8cb55d8a6ac00e5f171366ba	nvim	shared	include	approved	clear
file	nvim/.config/nvim/lua/plugins/omarchy-theme-hotreload.lua	file	100644	2706	sha256:10229da34e227566753a3acdea62dd896366ccd8d40c34d0d9cf0a2eb342ed8a	nvim	shared	include	approved	clear
file	nvim/.config/nvim/lua/plugins/snacks-animated-scrolling-off.lua	file	100644	117	sha256:e3dc59bf119a30f3e4a712c048902350dad188e4ebfd9a718820d3145e43d57a	nvim	shared	include	approved	clear
file	nvim/.config/nvim/lua/plugins/theme.lua	file	100644	221	sha256:33abac6d0859a8b4d86425281bb8198efadbc2f11c1c76051e5ebb4f4549e9d5	nvim	shared	include	approved	clear
file	nvim/.config/nvim/plugin/after/transparency.lua	file	100644	1161	sha256:6e31b917f13e16514ac94ff9270d47f24e76509a3e559ca85116a5aa2d61306a	nvim	shared	include	approved	clear
file	nvim/.config/nvim/stylua.toml	file	100644	58	sha256:59841fbcee7b707144c6a470e96e96e96062d7a59d2e45bac445984d863e1af2	nvim	shared	include	approved	clear
file	polybar/.config/launch_polybar.sh	symlink	120000	45	../dotfiles/polybar/.config/launch_polybar.sh	polybar	arch/omarchy	include	approved	clear
file	polybar/.config/polybar/config.ini	file	100644	5469	sha256:fb613bdba366ae2c48671b5402adc3997fe984ff6fbdd38bc2946717cfb91178	polybar	arch/omarchy	include	approved	reviewed-reference
file	polybar/.config/polybar/launch_polybar.sh	executable	100755	172	sha256:de23ff6cdabd13f3bbff79b4d3c0877680f22168141a9f2855a35aea9939697c	polybar	arch/omarchy	include	approved	clear
file	starship/.config/starship.toml	file	100644	4123	sha256:50590a7cb49640deb70e219ef3ef4453c72ac2893f76529721d445d8730ffd1d	starship	arch/omarchy	include	approved	reviewed-reference
file	tmux/.tmux.conf	file	100644	827	sha256:50ef785e344261997293c9c5829208d9e1f217fb3976edbe04368823f8b92c1e	tmux	shared	include	approved	clear
file	waybar/.config/waybar/config.jsonc	file	100644	3885	sha256:c830cf6db4a331233ee2e9ebaa31937238fc3deed8bbbd451c1bd16d06bd1ffb	waybar	arch/omarchy	include	approved	clear
file	waybar/.config/waybar/style.css	file	100644	1057	sha256:a59e25c4d95a460dfa5e9036afc00fdff139155d99c39c7b8b9528681f542aec	waybar	arch/omarchy	include	approved	clear
file	zshrc/.config/zsh/common.zsh	file	100644	2839	sha256:37c93b0d7dd2b1db04364fee375438dcb2ee6ef0d04f47ed37909169ac9e0a08	zshrc	arch/omarchy	include	approved	reviewed-reference
file	zshrc/.config/zsh/darwin.zsh	file	100644	1658	sha256:a68dd71a62f42b577e482e4dd2b0bc284ec4f097d56e19ff20c27f6e69ff7db9	zshrc	macos	include	approved	reviewed-reference
file	zshrc/.config/zsh/linux.zsh	file	100644	705	sha256:7db42864dded04acca801d7477f66b4ada49a2e62e81922b82d0d5de506c2183	zshrc	arch/omarchy	include	approved	reviewed-reference
file	zshrc/.zshrc	file	100644	506	sha256:33f2daca391b437e62105c2081d821de1dcd6ad1efb2baee60f4ba0f3f85b725	zshrc	shared	include	approved	clear
